id,x,y,longitude,latitude,depth,strat,strat_area
site_42,266.9011624636347,1508.7078887721318,144.84527993811162,13.637842469963555,8.086470146179199,35,10.821714550790162
site_43,243.88301935601007,1475.5617626972444,144.63557599881375,13.336443851985168,15.270522966384888,35,10.821714550790162
site_44,246.13368223764448,1467.9913511863133,144.656998947589,13.268238788184116,8.573830451965332,35,10.821714550790162
site_45,266.3896481723542,1508.1963744808527,144.84059598413387,13.63317947844334,13.924789304733276,36,0.27211274499085514
site_46,274.0623625415624,1505.7411058827129,144.91168051396872,13.611599181579725,29.818314870198567,37,2.1350384606974786
site_47,277.3360540057579,1500.2167515368983,144.94235578595143,13.56193074158963,25.394189338684082,38,0.450032616715645
site_48,242.34847648216842,1488.4519228374784,144.62027304894275,13.452768811575963,24.82517858651968,39,1.3187002257249132
site_49,277.0291454309896,1498.579905804805,144.93964841072292,13.547116097316446,24.604253215789797,40,0.1674539969174493
site_50,246.95210510369336,1487.6334999714318,144.66283967520445,13.445773037241084,18.760428504943846,41,1.0675192303487393
site_51,243.88301935601007,1487.6334999714318,144.6345104496663,13.445508291742891,23.803527183532715,42,0.06279524884404349
site_52,251.6580365834744,1464.8199625803827,144.70822401828406,13.240048088178282,20.8665858404977,43,0.7116794868991595
site_53,277.43835686401405,1499.2960258125959,144.94337233356603,13.553618425774465,27.78337946805087,44,0.12559049768808697
site_54,250.43040228440108,1464.7176597221269,144.69691016537138,13.23902184124132,21.23713821661277,45,0.6488842380551161
site_55,272.93703110074523,1507.2756487565503,144.90116177827,13.625378099762656,18.466053743362426,46,0.07326112365138407
site_56,246.84980224543725,1489.0657399870133,144.66176977501027,13.458704299754064,24.84476654153121,47,1.1093827295781016
site_57,243.2692022064734,1487.9404085461993,144.6288173990518,13.448227760702032,27.18901761372884,48,0.20931749614681164
site_58,259.3307509526826,1473.0041912408487,144.778319438339,13.31462385002935,29.492007446289062,49,2.5118099537617398
site_59,266.0827395975858,1488.042711404455,144.83940540657608,13.451049121882788,25.395989418029785,50,6.750489250734675
site_60,251.86264229998662,1491.4187057268973,144.70784206922139,13.48038976699596,19.703224555305813,50,6.750489250734675
site_61,276.21072256494074,1496.6361514979444,144.9322410286708,13.52948909483498,20.920143013000487,51,2.3338900820369495
site_62,244.2922307890345,1485.4851399480594,144.63847766642505,13.426134023672178,26.982930501302082,52,0.8268041097799059
site_63,263.9343795742076,1500.8305686864333,144.8185215530471,13.566426081073141,21.700850754976273,53,7.577293360514581
site_64,246.03137937938837,1469.5258940601507,144.6559222756964,13.282094566204512,29.72596549987793,53,7.577293360514581
site_65,265.26431673153695,1502.8766258515498,144.83063719353035,13.585020898348123,19.98641494012648,54,0.06279524884404349
